Sl No,District Name ,Area,Production,Value,Value
1, Bengaluru Urban ,360.96,2817.9193,7.806735649,826.863631
2,Bengaluru Rural ,720.77,4845.098,6.72211385,1403.795
3,Chikkaballapura,1126.6,8379.5894,7.4379455,1606.510352
4, Chitradurga,1584.21,6296.953,3.974822151,2522.722
5,Davangere,1600.206694,9754.6498,6.095868639,1095.13016
6, Kolar,4101,10729.854,2.616399415,2078.49
7, Ramanagara,516.54,1753.926435,3.395528778,456.2429
8, Shivamogga,15125,76533.22,5.060047603,22412.4995
9, Tumakuru,8732.2,22917.582,2.624491194,16950.068
10, Bagalkote,6009.1,92715.318,15.42915212,8678.276128
11, Belagavi,8050.79,107553.6245,13.35938765,41406.065
12, Vijayapura,1812.34,8778.077,4.84350453,653.06465
13, Dharwad,18823.11,20840.99975,1.107202782,24382.54636
14, Gadag,16853.78,26637.06,1.580479869,20154.0941
15, Haveri,22037.8,115664.5046,5.248459674,80003.48782
16, Uttar Kannada,7382.33,26739.0813,3.622038205,25047.0993
17,Ballari,43591.072,117512.5972,2.695795075,173672.6564
18, Bidar,3484,30668.25,8.802597589,10753.9045
19, Kalaburagi,2473,13229.6588,5.349639628,1790.8247
20,Koppal,2176.8,2793,1.283076075,539.859
21,Raichur,7052.59,14449.65,2.048843049,12995.42
22,Yadgiri,1151.81,1508.141,1.309366128,299.070858
23,Chamarajanagara,8476.7,36304.7188,4.282883528,36651.32172
24, Chikkamagaluru,53779.12,38036.186,0.707266798,49889.49314
25,Dakshina Kannada,13846.46,1938.344502,0.139988452,9990.604393
26, Hassan,45782.86433,103872.4324,2.268805892,79803.81038
27,Kodagu,18254.93,22985.4129,1.259134541,28163.271
28, Mandya,1161.246594,9749.041209,8.395323837,2205.757231
29, Mysuru,14270,150644.04,10.55669516,11945
30, Udupi,1867.92,1179.8512,0.631639042,2324.1473
